Player_1_id,Player_1_deck_id,Player_1_final_hp,Player_2_id,Player_2_deck_id,Player_2_final_hp,Coin,Final_turn,Winner
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,24,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,19,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,7,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,5,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,5,Face_hunter_1,13,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,14,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,27,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,23,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,22,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,16,Face_hunter_1,12,Face_hunter_1
